filename, n_bodies, n_steps, n_threads, version, time, n_procs
sequential, 10000, 100, 1, 0, 126.470940, 1
sequential, 10000, 100, 1, 1, 338.016707, 1
sequential, 10000, 100, 1, 0, 126.344940, 1
pthread, 10000, 100, 24, 0, 9.604805, 1
pthread, 10000, 100, 8, 0, 15.512781, 1
pthread, 10000, 100, 16, 0, 11.523751, 1
pthread, 10000, 100, 24, 0, 7.829828, 1
pthread, 10000, 100, 8, 1, 11.564984, 1
pthread, 10000, 100, 16, 1, 11.357250, 1
pthread, 10000, 100, 24, 1, 7.762789, 1
pthread, 10000, 100, 8, 2, 17.246145, 1
pthread, 10000, 100, 16, 2, 13.990191, 1
pthread, 10000, 100, 24, 2, 9.520738, 1
openmp, 100, 100, 8, 0, 0.016265, 1
openmp, 100, 100, 16, 0, 0.355734, 1
openmp, 100, 100, 24, 0, 0.730449, 1
openmp, 100, 100, 8, 1, 0.169469, 1
openmp, 100, 100, 16, 1, 0.019837, 1
openmp, 100, 100, 24, 1, 0.782639, 1
openmp, 100, 100, 8, 2, 0.017582, 1
openmp, 100, 100, 16, 2, 0.205506, 1
openmp, 100, 100, 24, 2, 0.768211, 1
openmp, 100, 100, 8, 3, 0.017959, 1
openmp, 100, 100, 16, 3, 0.005040, 1
openmp, 100, 100, 24, 3, 0.784253, 1
openmp, 100, 100, 8, 4, 0.011308, 1
openmp, 100, 100, 16, 4, 0.011444, 1
openmp, 100, 100, 24, 4, 0.011558, 1
openmp, 100, 100, 8, 5, 0.003701, 1
openmp, 100, 100, 16, 5, 0.004181, 1
openmp, 100, 100, 24, 5, 0.004100, 1
openmp, 100, 100, 8, 6, 0.003665, 1
openmp, 100, 100, 16, 6, 0.003570, 1
openmp, 100, 100, 24, 6, 0.004015, 1
openmp, 100, 100, 8, 7, 0.004156, 1
openmp, 100, 100, 16, 7, 0.004118, 1
openmp, 100, 100, 24, 7, 0.004407, 1
openmp, 100, 100, 8, 8, 0.005315, 1
openmp, 100, 100, 16, 8, 0.005943, 1
openmp, 100, 100, 24, 8, 0.006900, 1
openmp, 100, 100, 8, 9, 0.008127, 1
openmp, 100, 100, 16, 9, 0.011133, 1
openmp, 100, 100, 24, 9, 0.011863, 1
openmp, 100, 100, 8, 10, 0.004149, 1
openmp, 100, 100, 16, 10, 0.003886, 1
openmp, 100, 100, 24, 10, 0.003930, 1
openmp, 100, 100, 8, 11, 0.003929, 1
openmp, 100, 100, 16, 11, 0.004006, 1
openmp, 100, 100, 24, 11, 0.004057, 1
openmp, 100, 100, 8, 12, 0.004554, 1
openmp, 100, 100, 16, 12, 0.004324, 1
openmp, 100, 100, 24, 12, 0.005856, 1
openmp, 100, 100, 8, 13, 0.005378, 1
openmp, 100, 100, 16, 13, 0.005939, 1
openmp, 100, 100, 24, 13, 0.006535, 1
openmp, 100, 100, 8, 14, 0.009979, 1
openmp, 100, 100, 16, 14, 0.010848, 1
openmp, 100, 100, 24, 14, 0.011907, 1
openmp, 1000, 100, 8, 0, 0.263659, 1
openmp, 1000, 100, 16, 0, 0.232540, 1
openmp, 1000, 100, 24, 0, 0.179210, 1
openmp, 1000, 100, 8, 1, 0.255931, 1
openmp, 1000, 100, 16, 1, 0.176088, 1
openmp, 1000, 100, 24, 1, 0.166206, 1
openmp, 1000, 100, 8, 2, 0.249034, 1
openmp, 1000, 100, 16, 2, 0.180117, 1
openmp, 1000, 100, 24, 2, 0.132903, 1
openmp, 1000, 100, 8, 3, 0.265321, 1
openmp, 1000, 100, 16, 3, 0.195722, 1
openmp, 1000, 100, 24, 3, 0.147510, 1
openmp, 1000, 100, 8, 4, 0.271976, 1
openmp, 1000, 100, 16, 4, 0.203973, 1
openmp, 1000, 100, 24, 4, 0.126321, 1
openmp, 1000, 100, 8, 5, 0.221706, 1
openmp, 1000, 100, 16, 5, 0.180854, 1
openmp, 1000, 100, 24, 5, 0.170620, 1
openmp, 1000, 100, 8, 6, 0.235472, 1
openmp, 1000, 100, 16, 6, 0.151866, 1
openmp, 1000, 100, 24, 6, 0.139859, 1
openmp, 1000, 100, 8, 7, 0.216374, 1
openmp, 1000, 100, 16, 7, 0.141830, 1
openmp, 1000, 100, 24, 7, 0.163050, 1
openmp, 1000, 100, 8, 8, 0.224508, 1
openmp, 1000, 100, 16, 8, 0.159948, 1
openmp, 1000, 100, 24, 8, 0.157281, 1
openmp, 1000, 100, 8, 9, 0.242823, 1
openmp, 1000, 100, 16, 9, 0.166367, 1
openmp, 1000, 100, 24, 9, 0.147406, 1
openmp, 1000, 100, 8, 10, 0.201426, 1
openmp, 1000, 100, 16, 10, 0.163003, 1
openmp, 1000, 100, 24, 10, 0.118883, 1
openmp, 1000, 100, 8, 11, 0.218558, 1
openmp, 1000, 100, 16, 11, 0.155463, 1
openmp, 1000, 100, 24, 11, 0.121453, 1
openmp, 1000, 100, 8, 12, 0.262053, 1
openmp, 1000, 100, 16, 12, 0.154814, 1
openmp, 1000, 100, 24, 12, 0.170286, 1
openmp, 1000, 100, 8, 13, 0.272542, 1
openmp, 1000, 100, 16, 13, 0.158105, 1
openmp, 1000, 100, 24, 13, 0.136388, 1
openmp, 1000, 100, 8, 14, 0.257675, 1
openmp, 1000, 100, 16, 14, 0.170786, 1
openmp, 1000, 100, 24, 14, 0.131621, 1
openmp, 10000, 100, 8, 0, 21.089527, 1
